	Player,	Cost,	Sel,	Form,	PTS
	"
A.Armstrong
SOUFWD"	5.9	3.3%	2.2	47
	"
Azpilicueta
CHEDEF"	5.7	3.5%	0.8	46
	"
Kovacic
CHEMID"	5.0	2.0%	0.0	46
	"
Mitchell
CRYDEF"	4.5	1.1%	1.6	46
	"
Hwang
WOLFWD"	5.6	7.8%	1.6	46
	"
Duffy
BHADEF"	4.1	15.4%	0.8	45
	"
Cucurella
BHADEF"	5.0	1.2%	4.5	45
	"
Rodrigo
MCIMID"	5.5	1.2%	3.6	45
	"
Bednarek
SOUDEF"	4.4	0.7%	2.0	45
	"
Aubameyang
ARSFWD"	9.6	2.5%	1.2	44
	"
Cornet
BURMID"	6.1	1.7%	2.8	44
	"
Kouyaté
CRYDEF"	4.5	0.7%	2.4	44
	"
Schmeichel
LEIGKP"	4.9	13.1%	2.6	44
	"
Fred
MUNMID"	5.0	1.9%	5.0	44
	"
Taylor
BURDEF"	4.4	0.4%	4.2	43
	"
Redmond
SOUMID"	5.9	0.2%	2.8	43
	"
Ings
AVLFWD"	7.7	7.6%	0.6	42
	6.7	1.3%	2.5	42	
	"
Pickford
EVEGKP"	4.9	4.3%	2.0	42
	"
James
LEEMID"	6.0	0.6%	4.2	42
	"
Nørgaard
BREMID"	5.0	0.8%	2.0	41
	"
Cooper
LEEDEF"	4.5	0.4%	3.8	41
	"
Grealish
MCIMID"	7.6	8.3%	1.4	41
	"
Ait Nouri
WOLDEF"	4.3	0.9%	5.8	41
	"
Andersen
CRYDEF"	4.5	0.4%	1.8	40
	"
Dallas
LEEMID"	5.0	4.0%	2.6	40
	"
Sánchez
TOTDEF"	4.5	1.2%	6.3	40
	"
Ogbonna
WHUDEF"	4.9	0.3%	0.0	40
	"
Buendía
AVLMID"	6.2	1.0%	2.4	39
	"
Christensen
CHEDEF"	4.8	2.2%	0.6	39
	"
Allan
EVEMID"	4.5	5.0%	1.4	39
	"
Richarlison
EVEFWD"	7.4	4.9%	3.2	39
	"
Ward-Prowse
SOUMID"	6.3	1.9%	2.0	39
