	Player,	Cost,	Sel,	Form,	PTS
	"
Rúnarsson
ARSGKP"	4.0	0.7%	0.0	0
	"
Hein
ARSGKP"	4.0	0.5%	0.0	0
	"
Okonkwo
ARSGKP"	4.0	0.1%	0.0	0
	"
Bellerín
ARSDEF"	4.8	0.2%	0.0	0
	"
Kolasinac
ARSDEF"	4.3	0.1%	0.0	0
	"
Mavropanos
ARSDEF"	4.5	0.0%	0.0	0
	"
Saliba
ARSDEF"	4.5	0.0%	0.0	0
	"
Willian
ARSMID"	6.3	0.1%	0.0	0
	"
Torreira
ARSMID"	4.5	0.1%	0.0	0
	"
Guendouzi
ARSMID"	4.5	0.0%	0.0	0
	"
Sinisalo
AVLGKP"	4.0	0.1%	0.0	0
	"
Engels
AVLDEF"	4.5	0.0%	0.0	0
	"
Guilbert
AVLDEF"	4.5	0.0%	0.0	0
	"
Bogarde
AVLDEF"	4.0	0.1%	0.0	0
	"
Hourihane
AVLMID"	4.9	0.0%	0.0	0
	"
Trézéguet
AVLMID"	5.4	0.0%	0.0	0
	"
Ramsey
AVLMID"	4.4	0.2%	0.0	0
	"
Iroegbunam
AVLMID"	4.5	0.0%	0.0	0
	"
Samatta
AVLFWD"	5.5	0.0%	0.0	0
	"
Balcombe
BREGKP"	4.0	0.0%	0.0	0
	"
Gunnarsson
BREGKP"	3.9	1.2%	0.0	0
	"
Cox
BREGKP"	4.0	0.0%	0.0	0
	"
Thompson
BREDEF"	4.4	0.0%	0.0	0
	"
Stevens
BREDEF"	4.0	0.2%	0.0	0
	5.1	0.0%	0.0	0	
	"
Dasilva
BREMID"	5.3	0.0%	0.0	0
	"
Zamburek
BREMID"	4.4	0.8%	0.0	0
	"
Maghoma
BREMID"	4.5	0.0%	0.0	0
	"
Haygarth
BREMID"	4.5	0.0%	0.0	0
	"
Dervişoğlu
BREFWD"	5.4	0.0%	0.0	0
	"
Young-Coombes
BREFWD"	4.5	0.0%	0.0	0
	"
Ryan
BHAGKP"	4.5	0.0%	0.0	0
	"
Scherpen
BHAGKP"	4.5	0.0%	0.0	0
	"
Bernardo
BHADEF"	4.0	0.0%	0.0	0
	"
Karbownik
BHADEF"	4.0	0.0%	0.0	0
	"
Roberts
BHADEF"	4.0	0.2%	0.0	0
	"
Pröpper
BHAMID"	4.5	0.0%	0.0	0
	"
Jahanbakhsh
BHAMID"	5.5	0.0%	0.0	0
	"
Caicedo
BHAMID"	4.5	0.0%	0.0	0
	"
Andone
BHAFWD"	5.0	0.1%	0.0	0
	"
Zeqiri
BHAFWD"	4.5	0.3%	0.0	0
	"
Norris
BURGKP"	4.4	0.1%	0.0	0
	"
Peacock-Farrell
BURGKP"	4.5	0.0%	0.0	0
	"
Hennessey
BURGKP"	4.5	0.2%	0.0	0
	"
Bardsley
BURDEF"	3.9	0.6%	0.0	0
	"
Long
BURDEF"	4.0	0.1%	0.0	0
	"
Thomas
BURDEF"	4.0	0.3%	0.0	0
	"
Dodgson
BURDEF"	3.9	0.1%	0.0	0
	"
Stephens
BURMID"	4.4	0.0%	0.0	0
	"
Benson
BURMID"	4.5	0.0%	0.0	0
	"
Richardson
BURFWD"	4.5	1.1%	0.0	0
	"
Bettinelli
CHEGKP"	4.0	0.0%	0.0	0
	"
Ampadu
CHEDEF"	4.5	0.0%	0.0	0
	"
Giroud
CHEFWD"	6.5	0.0%	0.0	0
	5.5	0.1%	0.0	0	
	"
Abraham
CHEFWD"	6.5	0.1%	0.0	0
	"
Butland
CRYGKP"	4.4	0.3%	0.0	0
	"
Matthews
CRYGKP"	4.0	0.2%	0.0	0
	"
Kelly
CRYDEF"	3.9	1.0%	0.0	0
	"
Jach
CRYDEF"	4.3	0.0%	0.0	0
	"
Ferguson
CRYDEF"	4.5	0.0%	0.0	0
	"
Hannam
CRYDEF"	3.9	0.1%	0.0	0
	"
Banks
CRYMID"	4.5	0.0%	0.0	0
	"
Street
CRYFWD"	4.5	1.2%	0.0	0
	"
Virgínia
EVEGKP"	4.0	1.0%	0.0	0
	"
Lonergan
EVEGKP"	4.0	0.1%	0.0	0
	"
Tyrer
EVEGKP"	4.0	0.0%	0.0	0
	"
Branthwaite
EVEDEF"	4.0	0.2%	0.0	0
	"
Nkounkou
EVEDEF"	4.0	0.0%	0.0	0
	"
Welch
EVEDEF"	4.0	0.0%	0.0	0
	"
Sigurdsson
EVEMID"	6.8	0.7%	0.0	0
	"
James
EVEMID"	6.9	0.5%	0.0	0
	"
Bernard
EVEMID"	5.5	0.0%	0.0	0
	"
Whitaker
EVEMID"	4.5	0.0%	0.0	0
	"
Broadhead
EVEFWD"	4.5	0.0%	0.0	0
	"
Simms
EVEFWD"	4.5	0.2%	0.0	0
	"
Ward
LEIGKP"	4.0	4.5%	0.0	0
	"
Jakupovic
LEIGKP"	4.0	0.1%	0.0	0
	"
Justin
LEIDEF"	4.9	0.0%	0.0	0
	"
Fofana
LEIDEF"	4.3	0.3%	0.0	0
	"
Daley-Campbell
LEIDEF"	4.0	0.0%	0.0	0
	"
Nelson
LEIDEF"	4.0	0.0%	0.0	0
	"
Mendy
LEIMID"	4.3	1.3%	0.0	0
	"
Praet
LEIMID"	4.9	0.0%	0.0	0
	4.5	0.0%	0.0	0	
	"
Casilla
LEEGKP"	4.5	0.0%	0.0	0
	"
Klaesson
LEEGKP"	4.4	0.1%	0.0	0
	"
Koch
LEEDEF"	4.3	0.1%	0.0	0
	"
Drameh
LEEDEF"	3.9	0.1%	0.0	0
	"
Hjelde
LEEDEF"	4.0	0.0%	0.0	0
	"
Hernández
LEEMID"	5.5	0.0%	0.0	0
	"
Poveda
LEEMID"	4.5	0.0%	0.0	0
	"
McCarron
LEEMID"	4.5	0.0%	0.0	0
	"
Kenneh
LEEMID"	4.4	0.0%	0.0	0
	"
Bate
LEEMID"	4.5	0.0%	0.0	0
	"
Jenkins
LEEMID"	4.5	0.0%	0.0	0
	"
Greenwood
LEEFWD"	4.5	1.8%	0.0	0
	"
Adrián
LIVGKP"	4.3	0.2%	0.0	0
	"
Phillips
LIVDEF"	4.2	0.2%	0.0	0
	"
R.Williams
LIVDEF"	4.4	0.0%	0.0	0
	"
Davies
LIVDEF"	4.0	0.1%	0.0	0
	"
Bradley
LIVDEF"	4.0	0.0%	0.0	0
	"
Beck
LIVDEF"	4.0	0.0%	0.0	0
	"
Shaqiri
LIVMID"	5.9	0.0%	0.0	0
	"
Woodburn
LIVMID"	4.5	0.0%	0.0	0
	"
Gordon
LIVMID"	4.5	0.0%	0.0	0
	"
Carson
MCIGKP"	3.9	1.9%	0.0	0
	"
Slicker
MCIGKP"	4.0	0.0%	0.0	0
	"
Mbete
MCIDEF"	4.0	0.0%	0.0	0
	"
Wilson-Esbrand
MCIDEF"	4.0	0.1%	0.0	0
	"
Edozie
MCIMID"	4.8	0.0%	0.0	0
	"
Doyle
MCIMID"	4.5	0.0%	0.0	0
	"
Lavia
MCIMID"	4.5	0.0%	0.0	0
	"
Henderson
MUNGKP"	4.7	0.4%	0.0	0
	4.0	0.5%	0.0	0	
	"
Bailly
MUNDEF"	4.9	0.1%	0.4	0
	"
Jones
MUNDEF"	4.5	0.0%	0.0	0
	"
Mata
MUNMID"	4.8	0.1%	0.0	0
	"
Pereira
MUNMID"	5.0	0.0%	0.0	0
	"
Diallo
MUNMID"	5.0	0.0%	0.0	0
	"
Gillespie
NEWGKP"	4.0	0.3%	0.0	0
	"
Dummett
NEWDEF"	4.5	0.0%	0.0	0
	"
M.Longstaff
NEWMID"	4.5	0.0%	0.0	0
	"
White
NEWMID"	4.4	0.1%	0.0	0
	"
Anderson
NEWMID"	4.5	0.0%	0.0	0
	"
McGovern
NORGKP"	4.0	0.6%	0.0	0
	"
Gunn
NORGKP"	4.0	1.4%	0.0	0
	"
Byram
NORDEF"	4.4	0.0%	0.0	0
	"
Zimmermann
NORDEF"	4.4	0.0%	0.0	0
	"
Mumba
NORDEF"	3.9	0.3%	0.0	0
	"
Tomkinson
NORDEF"	4.0	0.0%	0.0	0
	"
Stiepermann
NORMID"	5.0	0.0%	0.0	0
	"
Hernández
NORMID"	4.9	0.0%	0.0	0
	"
Martin
NORMID"	5.0	0.0%	0.0	0
	"
Hugill
NORFWD"	5.4	0.0%	0.0	0
	"
Forster
SOUGKP"	4.4	0.7%	0.0	0
	"
Lewis
SOUGKP"	4.0	0.0%	0.0	0
	"
Valery
SOUDEF"	4.0	0.5%	0.0	0
	"
Smallbone
SOUMID"	4.5	0.0%	0.0	0
	"
Nlundulu
SOUFWD"	4.5	0.0%	0.0	0
	"
Obafemi
SOUFWD"	4.5	2.8%	0.0	0
	"
Hart
TOTGKP"	4.5	0.0%	0.0	0
	"
Gollini
TOTGKP"	4.3	0.2%	0.0	0
	"
Alderweireld
TOTDEF"	5.0	0.0%	0.0	0
	4.9	0.2%	0.0	0	
	"
Omole
TOTDEF"	4.0	0.1%	0.0	0
	"
Lamela
TOTMID"	6.0	0.0%	0.0	0
	"
Markanday
TOTMID"	4.5	0.0%	0.0	0
	"
Scarlett
TOTFWD"	4.5	2.4%	0.0	0
	"
Elliot
WATGKP"	4.0	0.7%	0.0	0
	"
Angelini
WATGKP"	4.0	0.0%	0.0	0
	"
Navarro
WATDEF"	4.0	0.2%	0.0	0
	"
Wilmot
WATDEF"	4.5	0.0%	0.0	0
	"
Pollock
WATDEF"	4.0	0.3%	0.0	0
	"
Morris
WATDEF"	4.0	0.0%	0.0	0
	"
Chalobah
WATMID"	5.0	0.0%	0.0	0
	"
Zinckernagel
WATMID"	5.5	0.0%	0.0	0
	"
Dele-Bashiru
WATMID"	4.5	0.0%	0.0	0
	"
Quina
WATMID"	4.5	0.0%	0.0	0
	"
Hungbo
WATMID"	4.5	0.0%	0.0	0
	"
Baah
WATMID"	4.4	0.1%	0.0	0
	"
Gray
WATFWD"	5.4	0.1%	0.0	0
	"
Perica
WATFWD"	4.5	0.7%	0.0	0
	"
Success
WATFWD"	5.0	0.1%	0.0	0
	"
Mebude
WATFWD"	4.5	0.1%	0.0	0
	"
Randolph
WHUGKP"	4.4	0.1%	0.0	0
	"
Areola
WHUGKP"	4.7	0.7%	0.0	0
	"
Reid
WHUDEF"	3.9	1.0%	0.0	0
	"
Alves
WHUDEF"	4.0	0.1%	0.0	0
	"
Baptiste
WHUDEF"	4.0	0.2%	0.0	0
	"
Ashby
WHUDEF"	4.0	0.0%	0.0	0
	"
Alese
WHUDEF"	4.0	0.0%	0.0	0
	"
Noble
WHUMID"	4.4	0.8%	0.0	0
	"
Coventry
WHUMID"	4.5	0.0%	0.0	0
	4.4	0.2%	0.0	0	
	"
Perkins
WHUMID"	4.5	0.0%	0.0	0
	"
Patrício
WOLGKP"	5.0	0.0%	0.0	0
	"
Söndergaard
WOLGKP"	4.0	0.8%	0.0	0
	"
Ruddy
WOLGKP"	4.4	0.2%	0.0	0
	"
Moulden
WOLGKP"	4.0	0.2%	0.0	0
	"
Storer
WOLGKP"	4.0	0.1%	0.0	0
	"
Boly
WOLDEF"	4.9	0.1%	0.0	0
	"
Jonny
WOLDEF"	4.5	0.0%	0.0	0
	"
Mosquera
WOLDEF"	4.5	0.0%	0.0	0
	"
Marques
WOLDEF"	4.0	0.2%	0.0	0
	"
Bueno
WOLDEF"	4.0	0.0%	0.0	0
	"
Neto
WOLMID"	6.4	0.0%	0.0	0
	"
Otasowie
WOLMID"	4.5	0.1%	0.0	0
	"
Cundle
WOLMID"	4.5	0.1%	0.0	0
	"
Campbell
WOLMID"	4.5	0.3%	0.0	0
	"
Cutrone
WOLFWD"	5.0	0.1%	0.0	0
